PC1,PC2
-28.138860824557163,-0.00621134014893443
-25.85099700031243,3.071085416473725
-25.66749334865853,-0.2035171596916286
-23.11580317842426,-2.2752319227068156
-23.31833490642799,-1.0878518965585042
-23.624092977964334,-0.6410723555938637
-23.438821558732837,-3.196167926319527
-22.991023764295758,-2.6850834836710544
-25.307112129226567,-0.3755281606369896
-19.198177992624366,-4.333459937105522
-26.70615042692297,-0.6242129679784516
-18.709654929389202,-0.3876868028720989
-19.639313671988017,-2.4143335253561857
-18.835275199616778,-3.159612530612837
-18.2921256225484,-3.2743653630997516
-19.19492135998986,-2.110452773542375
-18.095334999297283,-1.1699122246917526
-20.822755582061635,-3.441962146356098
-21.726638681614457,-1.3462154894466232
-18.382993501957465,-1.2373044624104144
-18.494127309882717,-5.282109747218781
-19.024051938315335,-3.290093818956673
-15.716121651496838,-5.105903609632504
-14.121728792878002,-3.6205129970810943
-14.083109598557032,-2.9971948010484164
-15.419356000447808,-3.001060198331104
-13.851701653088693,-6.6211746964807645
-14.498297334428903,0.10986331424744354
-14.050664990708809,-3.8619818095003318
-13.680961263111858,-6.06155290455787
-16.201311942932428,19.704487678580836
-15.754890898033603,-1.3538416662499924
-15.788797817742731,-1.0719076525544222
-15.238948007205002,-3.89225516017701
-15.237164659910771,-5.85739999191905
-12.560554203317569,-2.9240520017292924
-13.179164973584598,-1.8753237022514122
-12.403176131098409,-6.899584747330958
-20.57743165271339,2.2464844676876017
-15.784046703327192,-1.4324880599577399
-12.383523012037427,-5.465690459808513
-15.914639960326234,-0.6824878217513224
-15.538287056934061,-4.422673199943665
-15.765801042699731,-4.646316972801957
-11.015713375661951,-4.9609093243974725
-18.471321194757557,-1.9372192766768659
-14.21357151313587,-4.471000918039768
-15.131065226043754,21.166121331728792
-10.969957454262152,-3.799296050969781
-11.19015302261498,-0.5861108799632353
-10.455964407829049,-4.679194131284349
-10.85242984083309,-4.678292657461005
-10.145545919633397,-4.809636777707804
-15.65123940092893,-1.3065159287365817
-12.194243998995846,-3.2658936884886036
-9.379406713687255,-5.330950532819515
-16.62967484373185,-5.126964015686222
-10.766068586887167,-3.8040382572745965
-15.393817019550044,-5.446592206348776
-13.155482835573785,-0.679111876550701
-9.72414307824969,0.30767966375926276
-11.646740030666747,-2.051130237836604
-14.575553115799497,21.02914623890078
-8.112090893228196,-2.6873472455853347
-11.36278803454834,-0.7990040793199351
-11.675639966962752,-1.3772475665484694
-8.839651950521908,-5.534886159814452
-11.10637410469005,-1.5787278821433204
-11.865886621846457,-5.339950402507283
-12.624186528607126,-0.857471426307909
-15.32477286205851,-1.0986193207097414
-12.970513756987927,-4.415665188109472
-8.07004911166587,-2.9175696158194615
-15.627971123929257,-1.8911931720860191
-15.023504073650809,-3.3532678605031245
-7.329822753867257,-2.6259335388746834
-7.073205279837328,-1.75799576092254
-7.41172585743836,-1.657796107129085
-8.620839925499332,-0.36787332950252394
-11.961630303509976,23.51434378291308
-10.146660497631178,-2.226834486513885
-10.347807507738473,-0.784586861081898
-7.624452526786455,-5.658850463777093
-11.016569075611812,-5.297146684546089
-10.227825232668295,-5.28030548848971
-9.475630295297869,-2.540018255181241
-7.306755651601179,-6.117147584953918
-13.40737939646297,-3.66282600541994
-9.574917157874413,-5.381580422683391
-11.066905346820933,-0.9094398136900339
-6.799479748098986,-6.384293256533034
-10.40903828708409,-2.550105842152375
-7.5853394164039525,0.05488724077438012
-5.928000976684326,-5.334800314440851
-14.838508012031975,-3.3782120208765805
-10.322277360221072,-3.9109607037269885
-12.563474036104614,-3.917368545644336
-8.61429579705801,-3.049524371598474
-6.487561596779773,-4.836626720496717
-9.933552224438452,25.56010258260828
-8.683152138753877,-1.485602969384641
-8.67555902931384,-1.401274499949156
-8.761739390428641,-1.4636459894724128
-11.204642665341618,-3.868749833050972
-4.009074547014239,-5.295887255696091
-11.379112768979104,-4.474721458324234
-8.037845794751933,-5.726618183795897
-9.99350781620793,-4.92700054280644
-10.230087800723371,-0.09465067222523092
-16.211262184321292,0.6848786947927028
-8.520247338120305,-5.442704253235223
-1.553072182179666,-7.906135291203321
-9.766826502892025,-5.393191550342907
-2.072958912220102,-7.005962541728907
-12.969469100823957,-5.0425385813299854
-5.774996205124663,-4.838313081636218
-12.96895881521004,-2.4665703562660846
-7.091024790702229,-4.197738726908839
-6.725484290216253,-4.618685057112625
-8.50718788753577,25.35739434084264
-1.1547696569313703,-4.449347792532196
-8.84896660905348,-3.973985817814023
-8.62711774681821,-3.8225363959510226
-10.353695631468867,22.159720979357488
-7.546464697810283,-3.3241967536768384
-0.4465493587111722,-7.6705284774799
-0.35141892025464766,-7.687608533449768
