PC1,PC2
-8.912611592331231,-4.265855143516755
-7.729391842225856,-2.465145043465624
-6.652922286100244,-2.081321404654221
-8.20143261157152,-4.872277126147754
-7.266672049252644,-2.97484768148299
-7.02178146726997,-3.8636176305494194
-6.261605798309755,-2.8364244112556243
-8.35258161280483,-4.838459337064889
-7.60975154651558,0.9246278512355623
-3.905966470347833,-1.2427217614283814
-7.560276357251205,-0.6762393670296867
-4.929497690591591,-1.8436190567310555
-4.868173519057084,0.1751813927756245
-5.502353551676141,-3.7656528283816417
-5.108421859867804,-2.8464620317857476
-5.0051986281454015,-0.5160947295322091
-5.262845021015308,-2.736841160896786
-6.031510928918919,1.3080307521913082
-5.703844889436023,-0.26304587414341585
-5.91792254764173,-1.8555328109903313
-4.923566407678944,-1.3236409534066347
-6.016990635083358,-3.6501225843480984
-5.029825290458075,-2.269213751509853
-5.076031772345309,-3.6000308430505834
-2.7289421789359203,-1.7241633000340297
-5.822204883055135,-6.6245691009683645
-4.946074652975442,-2.752421555629972
-4.057629119429795,-2.9978357344639055
-4.350424693653705,-2.348878654094134
-4.40133929738336,-3.3744729242439893
-6.543816218645688,5.325189758489905
-4.829351682943972,-1.734330240182652
-4.8958022030522255,-2.120306358735328
-4.846675718983806,-2.42503785851358
-4.323845066295899,-0.9726172463858652
-3.4029046706213206,-3.2588274034821363
-2.5502003456633267,0.6173658501773673
-4.533311482953852,-2.6243507241245307
-6.336832784636761,0.38748989270552137
-4.014359113053726,0.24104084549210303
-5.204663175759916,-4.889391771897209
-4.371627544365245,0.8058137652526578
-4.7254537913349655,1.5969119904734839
-4.660382011723885,1.989198927820833
-4.129859972997028,-2.948199706006551
-4.441504791734182,-0.4474790543153125
-4.715768296793588,-2.5356498226957447
-6.0543196002007384,4.97714662756827
-3.6197282276396394,-3.4809338524461455
-3.1091966522965864,-2.508787561467411
-3.4307155662537947,-3.5179847188306357
-3.3959220406284745,-2.3238268283289987
-2.932518801437614,-2.2667139266503598
-4.17674149203436,0.2951772649920904
-3.904378913024188,-1.0347877477860694
-3.7088374403607514,-3.005850770937017
-4.444584102347878,0.7634933471251635
-1.2855390956838495,-0.879600321558028
-5.097655216341378,-1.8220754865448139
-4.376923530771893,-0.5581220003430181
-2.2872329537415896,-2.8204940694070992
-4.437268545686702,-3.178612487249984
-6.65050028236613,6.0634007660543805
-1.5167023962099087,-0.5025902975553492
-4.031989912684464,-2.3540795816388433
-4.359150913916729,-3.1677888487325343
-2.8706997570838877,-2.3160089262637396
-4.012795207373887,-2.9789313850483814
-3.7682458813343045,-2.6253264338161166
-4.43320523486742,-3.1686324121691163
-3.3391838959040285,-0.35395533878845703
-4.376887699680914,-1.9533066037825533
-2.2095578325888066,-4.1817121788801925
-5.125433617716951,-2.275176588496674
-4.8997458472172095,-2.5779075033594885
-2.120305559377179,-3.3717713727421676
-2.5535180511246893,-2.7639781265690373
-2.014503864474372,-3.2745622648477912
-2.4283586994583204,-3.203829083236127
-5.761342147111959,6.6384444119311725
-3.8771607444635205,-3.3067516368376757
-3.8339381256270473,-3.382420323162289
-3.1341843522887456,-3.649133882633315
-3.3583193568781837,1.9003505981066213
-3.2145680923643907,1.8522578163649848
-3.5986717865301556,-2.7955857256522627
-3.0374353740639166,-3.3579069384677047
-3.623330750331231,-0.11339889539802768
-3.203345696260969,-1.8662062609293013
-3.8607489812743503,-3.1027551869750614
-2.8794505456553163,-2.923671394112832
-3.388667693954205,-0.17133867683551685
-2.0156553632867267,-3.357654000809197
-3.0751054782793354,-4.754232222116674
-3.6660443249638086,0.5614650091667059
-3.564202367231945,-2.2516387354283167
-4.41559912908728,-1.5739428777683102
-3.2970321479904765,-3.1807127372855177
-1.6927163641695342,-1.4503828524861524
-5.256050987916651,6.266813426160666
-3.1403289547610203,-3.2679399794267807
-3.1025101897362832,-3.375662123335677
-3.1065232561384617,-3.235267626271673
-2.6067628314312374,0.11680868883837374
0.04392722636600786,-4.284193835868106
-2.39666032345105,-0.2904635458416004
-2.616603757117487,-1.9072647393379851
-4.249694081076626,-3.7784751274250437
-3.8429459816009137,-2.998442827658463
-4.647024973322316,2.2188786980341937
-3.162045046025408,-0.08243141367998366
1.1570640835664214,-1.399442723929843
-3.4062132563189325,-0.19768713945065702
0.42579604836251705,-2.400541637052629
-3.7021523015979545,0.3517813426429513
-1.7971555020534469,-4.730873425608999
-3.344384109466679,0.9971236373019665
-2.2607665700555537,-2.910816089821792
-2.3930958167689744,-2.814851359652514
-4.822716944698784,6.485646207398543
2.5742985834106182,-0.18279750508049006
-3.71407997059817,-4.006858528224411
-3.33994917764142,-2.766010466406688
-5.740332307652354,6.522715462934461
-1.8177499280927816,-0.643736569366661
1.1331484790938344,-3.089763298353423
1.86265021966882,-3.0188703683810663
-5.851614127638744,7.34545818536441
-2.762009262261435,-4.030547200194759
0.30836676686001674,-1.2011801087080152
-0.4998293578707015,-3.8441063024566047
-3.8043956676046173,0.0026259517889313535
-2.8730112864742137,-1.7479360524966192
-2.9190680398793485,-1.261155756848254
-2.17347050888963,-2.6216295630968522
-3.478198437521989,-4.111879651084618
-2.989690099758542,-0.6061376625352148
-2.0273260303407534,2.1400768460188693
-1.9596071575355667,-3.0531362078729445
-2.0003849761348946,-2.97048401158103
-3.27382544701188,-1.3537246830082976
-1.6800303982246247,-3.2319367811833826
-1.9052429051895305,-1.3423444934275737
-1.944345617408335,-1.3597224646205757
0.5404506827908397,-3.6719178937000603
3.3929427507554037,0.2948461495516432
-2.893473147216615,-2.4663092423497632
-2.997349699214937,-2.7262661807366406
-1.3480625740245207,-2.6756034374453455
-4.97667761191787,7.871901138652879
1.0024544352916032,-3.579694395549297
-2.582234631337164,-3.9129950106423372
-2.032574425563352,1.3280444752515217
-3.994091268902179,-1.1111391703368774
-5.3580047240083,6.738023582531349
-2.04364988422744,-1.242488100307442
0.2635364874346859,-2.495856343107347
-2.326704956726273,-1.2835856551360016
-0.33984817642672266,-3.0162616873587913
-0.1392143314258499,-3.3552210918802876
0.44369760109499934,-2.168189893143858
0.16823397168968715,-2.2992135521028114
0.1682339716896867,-2.2992135521028105
-2.409554591352305,1.3599679767806163
-2.0914289132107076,-4.698005116039624
-3.053291987816009,1.8599884396553419
0.31077437757731646,-2.036909456811616
0.31077437757731646,-2.036909456811616
-1.6128864883166916,-0.8305218703672338
-2.1139496744798905,-0.9396576415942111
0.44007759243705263,-4.666693762662852
-2.6302164346832644,-1.9384442226151308
2.910470941358306,-1.7081821529353471
-3.155928573848659,2.6655120343927545
-3.2561089267419026,2.431801412099129
-4.734569930691343,6.732132487563144
1.1558694117222135,-3.2820096029497954
-4.363393967842542,7.5943778603741965
1.5437292116392576,-3.1427245161529536
-2.6689965073329276,-3.2737013391379053
0.4629694005372569,-2.9459323997976368
-1.412606939622273,-0.8291490810196278
1.7125204199599748,-1.1924193698358605
3.5540870255292556,0.5878041432651638
-1.1971135328497902,-3.1005097825811907
0.6678119400963113,-2.3428658618093476
-1.8994915428290189,-4.31730535892123
0.317329236900128,-0.2440153515614217
3.922618602857585,-0.009819582076137789
-0.3873298932624413,-1.8653035384431693
-2.0842390807824653,-2.1829206998516866
-0.3757695717771143,-1.9133203835505586
-3.0526932956039716,-1.0060943564597784
-2.207628711751487,-4.212810541603256
-1.8944637786684237,-2.5131899592153313
-0.9617473997482906,-0.7476650393828025
1.4661303507158827,-1.4827982534362858
1.9867780421746313,-1.2340706426271781
-5.067112183480791,8.560419447620236
0.8035822958807204,-2.53528994846709
2.6754653136800917,-2.62356899492763
0.1336308660575647,-0.08631236196637987
4.729480159222528,0.4680974635819568
-1.2237758576622713,-0.10169036726531332
2.3179404368405776,-3.1157449354400315
-1.6671038851750828,0.11328106661365964
1.2915641979314008,-2.7101121699217097
-3.011109387486177,-0.8683699231739973
1.526145018761442,-2.879103745372964
-1.7884027452876552,-0.8409641378017284
-0.2925684841245059,-1.6276964442621944
-1.033123323256264,-1.0790142442702348
4.321806642641981,-0.6337802266859486
-4.187595736778092,9.074109721600712
-1.5769828441955147,-2.3101117678958714
4.343036495065505,0.006826469618339222
-1.3091341260029654,-0.8464910507365004
-1.0707377684913673,-1.7436850636573276
0.842958773140062,-1.8805906765499598
1.7801210802971072,-1.6991270312835294
1.597210169407962,0.9471276479051084
0.049447969856111336,-1.90224505423895
-0.5418819499569573,-3.8072871937203656
-3.251326400883908,8.0261664305172
5.051080273108758,0.45754777014054476
0.9274679219389487,-1.7060548461053395
1.0686237462287667,-3.252039517159007
4.1269266520175245,-4.718687792822731
-0.30667838077218285,-0.870929503779198
1.0608958672982645,0.042461701914532884
0.3929250274933478,-2.453491040387582
3.019524171911009,-2.434884823617052
5.446656966836343,0.026989787069592194
3.219397325809592,-1.9865135761424015
2.1676425085017823,1.9365723195755369
1.1216528036853488,2.8181088348474237
-4.15380157089235,8.859696444024356
1.4817277266740585,-3.098929738687949
-4.27512042089518,9.746610175050817
3.9091471751464377,-3.3193957550808726
3.291754296784464,-2.003463310704411
2.271175552620288,-1.665439401278465
2.1983497172955064,-1.542401748236069
-2.615317905527035,-0.052984635588655994
-0.4448683318769193,-3.8253759273456205
0.39433865735680074,-4.059281582578759
4.513606472723195,0.19979421151097163
0.6065021498216793,-0.5293346746887084
1.913413601446626,-2.6267848495779633
0.5041546730017967,-1.7740380872803065
1.137720078785339,-0.052435251899789224
-3.3868004656900172,10.240752253933339
-1.371963593491643,-3.9223163133340435
1.4329506684288076,-2.656910567909928
2.5213495061894933,-1.7605559893060556
1.21097335415175,-3.1567347333004827
0.9056701227456935,-0.553918629020997
6.336481142686579,0.42638425490452875
-1.7436407508661793,-0.821247284839265
-3.1614084479310254,9.184631484149739
0.8516990334477905,0.3581878194038091
-1.9990323948085458,3.5103546064254116
3.0180104462831387,-2.1693954975243503
2.2452661897717996,2.694734542897457
5.457714786303446,-2.7691619151413107
7.683568820976194,-1.2906932361730785
7.028930506322038,-1.082143857616206
7.149183363739436,-1.0157427751908494
2.15406741462281,-5.055247665922325
-3.491464800358229,10.884131669420881
1.270951953443479,-1.2828788128632556
1.8513123944541459,1.5407029246227237
6.011375574585156,-0.013108800165356867
7.811000782459924,-0.6606482601228042
-2.5169412272320133,10.809643083617187
-2.592437316594605,11.37924766402002
7.688741576692703,0.8412578791416228
0.3813231398141324,-1.6718001906911326
7.497171730559459,-0.9863019546887571
-1.425656873775871,8.413210505408742
4.689729731574962,-4.322403813109553
2.04850605240589,-0.44418696757916326
3.9464501871357016,-2.1981906121245274
2.6499925866357144,-0.9040428175948096
8.367039989035295,-1.1003945240038466
-0.6586982062453348,8.38025823629786
-2.5721654654407535,11.089017724213152
-2.704668210681698,11.990286765536798
1.6101960813908736,-2.486400403393332
8.379289858008928,-2.6462457740294814
-1.7995030990177747,12.49109301042743
2.6408526126959644,-4.781486267228335
6.513108185700359,-2.4166866797484796
3.0759495649462925,-0.452089538555764
4.8077715974214925,-0.5642302204799279
-1.6043235333853993,11.471378628049303
-1.9742143917572856,10.94661385596386
2.756097428314606,-0.8444905741674983
13.422206186361471,-1.4762132444768472
-1.5436841548406839,-1.8307815458070253
-1.9308791734750623,13.068792129212081
8.833511408902309,-1.2174955974375945
-1.0245059438566482,13.569413713803248
11.158506920410613,1.076530460158135
2.2109368111866994,9.604715748621237
0.08415030824553946,11.70335543295866
2.118427900093339,5.0197626340068435
0.4694175959853309,11.79652996282115
12.201154548575694,-0.27564538548066503
-1.0150847076172735,13.227820649058714
-1.1597768383397558,14.125996412553702
10.416847660895861,-2.282261484029073
-0.25659189329453375,14.625384623141832
10.22740459944246,-6.057653669809126
0.8530311335568773,-3.219089249472645
9.836477860811808,-4.749403468893035
-0.07808810591987253,13.637701444010148
-0.4321872702109372,13.10511829511548
14.594624188644678,3.3434466909024354
0.4947950663721546,15.657394482476642
3.3913504873376863,-1.5107408873650467
13.290632781599264,-1.329429981999572
-0.4749121190220707,3.4731318843831867
0.3489965664396318,16.181670417887542
1.2450833568806046,16.677346376450746
11.88422201237409,-3.096115340126935
17.030452135458095,-0.49242707880121644
16.530857602765302,2.4815870227719095
16.932112724080888,2.3916524300899793
16.731330519398714,2.1672937383735333
18.11235190278089,1.9536937763651618
2.729454300287016,18.685255983681206
21.743849851577153,4.252307986063409
19.477493651927382,2.6486221063395963
20.574054438744678,1.7959149179217089
21.033247827585896,1.40575405509535
4.207658096867362,20.668613143898863
23.043605386125332,2.6824880676152687
3.9885703753728685,5.229163411435179
29.914884920297876,4.503458162822118
43.6816496041055,-7.645654290042725
44.40484395022457,-3.815403481616521
23.397640685513178,2.6480850741555626
